sale_id,product_name,sale_date,quantity_sold,unit_price,total_sale
200,Tablet,2025-02-06,9,125,1125
201,Mouse,2025-02-07,13,103,1339
202,Laptop,2025-02-11,2,78,156
203,Keyboard,2025-02-06,1,193,193
204,Tablet,2025-01-27,11,157,1727
205,Mouse,2025-02-08,10,100,1000
206,Tablet,2025-01-20,11,108,1188
207,Laptop,2025-01-19,7,173,1211
208,Laptop,2025-02-02,5,156,780
209,Laptop,2025-01-30,19,119,2261
210,Mouse,2025-01-21,2,199,398
211,Tablet,2025-01-26,3,176,528
212,Mouse,2025-01-21,9,74,666
213,Printer,2025-02-05,15,192,2880
214,Laptop,2025-02-10,19,63,1197
215,Printer,2025-02-03,2,130,260
216,Keyboard,2025-01-22,16,64,1024
217,Keyboard,2025-01-28,19,167,3173
218,Laptop,2025-02-06,9,107,963
219,Keyboard,2025-02-18,3,54,162
220,Mouse,2025-01-27,13,52,676
221,Keyboard,2025-02-03,3,183,549
222,Tablet,2025-02-08,3,197,591
223,Keyboard,2025-02-06,4,66,264
224,Printer,2025-02-11,1,182,182
225,Laptop,2025-01-20,6,113,678
226,Keyboard,2025-01-21,14,112,1568
227,Laptop,2025-01-22,2,165,330
228,Keyboard,2025-01-27,8,183,1464
229,Laptop,2025-01-31,14,147,2058
230,Printer,2025-02-01,3,199,597
231,Mouse,2025-01-27,20,158,3160
232,Laptop,2025-01-20,9,98,882
233,Printer,2025-01-23,14,188,2632
234,Printer,2025-02-08,11,96,1056
235,Keyboard,2025-01-29,11,140,1540
236,Mouse,2025-02-14,16,94,1504
237,Tablet,2025-01-28,20,163,3260
238,Mouse,2025-02-11,14,96,1344
239,Laptop,2025-02-13,13,115,1495
240,Tablet,2025-02-06,19,73,1387
241,Mouse,2025-01-27,14,118,1652
242,Tablet,2025-02-02,1,136,136
243,Tablet,2025-02-15,19,91,1729
244,Keyboard,2025-02-10,12,194,2328
245,Laptop,2025-01-30,20,97,1940
246,Printer,2025-02-15,9,180,1620
247,Tablet,2025-01-24,4,168,672
248,Printer,2025-01-28,6,176,1056
249,Keyboard,2025-02-12,11,63,693
250,Keyboard,2025-01-23,8,118,944
251,Mouse,2025-01-28,11,139,1529
252,Printer,2025-02-02,9,173,1557
253,Tablet,2025-02-01,19,117,2223
254,Printer,2025-02-04,5,173,865
255,Laptop,2025-01-27,7,50,350
256,Laptop,2025-02-02,14,118,1652
257,Printer,2025-02-11,18,125,2250
258,Keyboard,2025-01-28,10,167,1670
259,Mouse,2025-01-24,9,69,621
260,Mouse,2025-01-26,14,63,882
261,Mouse,2025-01-31,17,161,2737
262,Mouse,2025-01-29,9,138,1242
263,Mouse,2025-02-18,11,168,1848
264,Keyboard,2025-02-12,14,119,1666
265,Laptop,2025-01-27,1,99,99
266,Laptop,2025-02-01,2,85,170
267,Laptop,2025-01-27,10,167,1670
268,Tablet,2025-01-20,7,113,791
269,Mouse,2025-01-25,7,139,973
270,Keyboard,2025-02-18,14,142,1988
271,Tablet,2025-01-28,15,160,2400
272,Keyboard,2025-02-13,19,143,2717
273,Laptop,2025-02-06,18,105,1890
274,Tablet,2025-01-26,13,142,1846
275,Mouse,2025-02-03,18,123,2214
276,Laptop,2025-02-03,9,198,1782
277,Printer,2025-02-12,8,116,928
278,Keyboard,2025-02-05,19,50,950
279,Tablet,2025-02-02,18,129,2322
280,Tablet,2025-01-19,7,135,945
281,Mouse,2025-01-25,15,116,1740
282,Tablet,2025-02-02,15,162,2430
283,Printer,2025-01-30,11,146,1606
284,Mouse,2025-01-27,9,186,1674
285,Keyboard,2025-01-30,15,150,2250
286,Laptop,2025-02-06,11,98,1078
287,Keyboard,2025-02-09,10,117,1170
288,Mouse,2025-02-14,11,151,1661
289,Tablet,2025-02-14,15,82,1230
290,Keyboard,2025-02-04,1,173,173
291,Mouse,2025-01-22,6,110,660
292,Keyboard,2025-01-31,5,101,505
293,Printer,2025-02-17,14,139,1946
294,Printer,2025-01-28,4,134,536
295,Keyboard,2025-02-16,11,116,1276
296,Tablet,2025-02-18,11,185,2035
297,Tablet,2025-02-12,8,60,480
298,Tablet,2025-02-07,11,162,1782
299,Laptop,2025-01-19,4,87,348
300,Tablet,2025-02-01,2,87,174
301,Printer,2025-01-31,11,169,1859
302,Tablet,2025-01-22,17,177,3009
303,Printer,2025-01-28,4,159,636
304,Tablet,2025-01-20,7,193,1351
305,Mouse,2025-02-14,1,132,132
306,Laptop,2025-01-20,1,117,117
307,Keyboard,2025-02-12,15,141,2115
308,Printer,2025-02-11,13,57,741
309,Mouse,2025-01-19,5,144,720
310,Laptop,2025-02-12,5,125,625
311,Printer,2025-01-23,4,72,288
312,Tablet,2025-02-05,18,141,2538
313,Tablet,2025-02-05,8,68,544
314,Laptop,2025-02-10,17,160,2720
315,Printer,2025-01-20,17,199,3383
316,Mouse,2025-01-23,3,59,177
317,Laptop,2025-02-16,15,85,1275
318,Keyboard,2025-01-19,4,85,340
319,Laptop,2025-02-14,3,52,156
320,Keyboard,2025-01-31,5,66,330
321,Printer,2025-01-26,19,139,2641
322,Laptop,2025-02-15,16,94,1504
323,Mouse,2025-02-10,4,57,228
324,Printer,2025-02-06,5,58,290
325,Laptop,2025-01-22,15,56,840
326,Tablet,2025-02-15,19,118,2242
327,Laptop,2025-02-16,18,115,2070
328,Keyboard,2025-02-17,20,139,2780
329,Laptop,2025-02-14,17,153,2601
330,Keyboard,2025-02-07,19,137,2603
331,Keyboard,2025-02-09,6,141,846
332,Laptop,2025-02-11,16,73,1168
333,Keyboard,2025-01-30,3,86,258
334,Laptop,2025-02-06,13,175,2275
335,Keyboard,2025-02-04,6,101,606
336,Printer,2025-02-14,16,50,800
337,Tablet,2025-01-19,5,104,520
338,Keyboard,2025-01-20,6,180,1080
339,Tablet,2025-02-07,18,102,1836
340,Mouse,2025-02-18,12,60,720
341,Printer,2025-01-30,19,91,1729
342,Laptop,2025-01-25,13,183,2379
343,Mouse,2025-02-14,13,180,2340
344,Keyboard,2025-01-29,3,194,582
345,Mouse,2025-02-18,7,142,994
346,Keyboard,2025-01-26,2,71,142
347,Laptop,2025-02-05,3,52,156
348,Tablet,2025-02-07,13,141,1833
349,Mouse,2025-01-22,10,121,1210
350,Printer,2025-02-08,17,119,2023
351,Mouse,2025-02-11,16,162,2592
352,Keyboard,2025-01-25,10,93,930
353,Laptop,2025-01-27,16,145,2320
354,Tablet,2025-02-01,19,189,3591
355,Tablet,2025-01-30,13,166,2158
356,Mouse,2025-01-31,4,79,316
357,Laptop,2025-02-16,1,133,133
358,Keyboard,2025-01-24,16,114,1824
359,Tablet,2025-02-09,15,134,2010
360,Laptop,2025-01-27,19,135,2565
361,Printer,2025-02-15,20,148,2960
362,Laptop,2025-02-02,14,179,2506
363,Tablet,2025-01-27,13,191,2483
364,Mouse,2025-01-27,8,75,600
365,Printer,2025-01-22,12,65,780
366,Mouse,2025-01-31,10,60,600
367,Keyboard,2025-02-09,1,52,52
368,Keyboard,2025-01-28,2,82,164
369,Laptop,2025-01-25,20,102,2040
370,Tablet,2025-02-08,13,161,2093
371,Tablet,2025-01-28,17,167,2839
372,Keyboard,2025-02-14,8,128,1024
373,Laptop,2025-02-09,19,83,1577
374,Laptop,2025-01-27,19,194,3686
375,Printer,2025-02-13,10,181,1810
376,Mouse,2025-02-09,15,189,2835
377,Printer,2025-01-28,15,129,1935
378,Mouse,2025-01-30,20,57,1140
379,Laptop,2025-01-24,7,50,350
380,Mouse,2025-02-07,2,153,306
381,Printer,2025-01-31,14,160,2240
382,Laptop,2025-02-05,20,159,3180
383,Tablet,2025-01-24,12,77,924
384,Printer,2025-02-18,12,142,1704
385,Laptop,2025-02-14,11,103,1133
386,Keyboard,2025-01-28,6,62,372
387,Mouse,2025-01-22,1,147,147
388,Tablet,2025-01-20,1,111,111
389,Keyboard,2025-01-22,7,142,994
390,Mouse,2025-02-02,6,141,846
391,Printer,2025-01-23,20,171,3420
392,Mouse,2025-02-18,15,95,1425
393,Keyboard,2025-01-29,20,172,3440
394,Laptop,2025-01-21,8,153,1224
395,Mouse,2025-02-04,11,55,605
396,Laptop,2025-02-11,16,59,944
397,Laptop,2025-01-26,7,50,350
398,Keyboard,2025-02-08,6,142,852
399,Tablet,2025-02-10,3,150,450
400,Tablet,2025-02-10,19,88,1672
401,Keyboard,2025-01-28,15,171,2565
402,Tablet,2025-02-01,2,188,376
403,Tablet,2025-01-23,11,171,1881
404,Tablet,2025-01-28,1,100,100
405,Printer,2025-02-01,9,75,675
406,Tablet,2025-01-28,10,188,1880
407,Tablet,2025-02-09,11,111,1221
408,Printer,2025-01-22,4,180,720
409,Laptop,2025-01-27,8,150,1200
410,Tablet,2025-01-26,13,62,806
411,Mouse,2025-02-13,5,68,340
412,Printer,2025-01-26,4,185,740
413,Printer,2025-02-07,1,163,163
414,Printer,2025-02-04,17,74,1258
415,Keyboard,2025-02-14,19,171,3249
416,Laptop,2025-02-07,15,180,2700
417,Laptop,2025-01-22,5,118,590
418,Mouse,2025-01-22,15,118,1770
419,Keyboard,2025-02-04,20,88,1760
420,Printer,2025-02-02,20,184,3680
421,Laptop,2025-01-20,8,153,1224
422,Printer,2025-01-23,9,67,603
423,Laptop,2025-02-07,7,74,518
424,Tablet,2025-01-30,1,102,102
425,Mouse,2025-02-07,10,188,1880
426,Mouse,2025-01-27,1,60,60
427,Tablet,2025-01-23,13,166,2158
428,Tablet,2025-01-30,13,173,2249
429,Printer,2025-01-28,3,191,573
430,Tablet,2025-02-15,12,195,2340
431,Printer,2025-02-13,4,100,400
432,Keyboard,2025-02-12,8,192,1536
433,Printer,2025-02-14,11,123,1353
434,Mouse,2025-02-10,8,166,1328
435,Mouse,2025-01-29,19,93,1767
436,Printer,2025-02-01,1,157,157
437,Keyboard,2025-02-11,3,57,171
438,Laptop,2025-01-24,15,50,750
439,Keyboard,2025-02-14,4,107,428
440,Laptop,2025-02-17,11,78,858
441,Tablet,2025-02-18,11,161,1771
442,Mouse,2025-02-14,15,143,2145
443,Printer,2025-01-29,20,58,1160
444,Mouse,2025-01-23,16,54,864
445,Mouse,2025-01-22,14,191,2674
446,Printer,2025-02-03,13,98,1274
447,Keyboard,2025-02-17,19,109,2071
448,Keyboard,2025-02-12,8,133,1064
449,Tablet,2025-02-06,11,185,2035
450,Laptop,2025-02-17,10,155,1550
451,Printer,2025-02-07,1,149,149
452,Tablet,2025-01-24,10,183,1830
453,Laptop,2025-01-30,17,138,2346
454,Keyboard,2025-01-29,7,136,952
455,Keyboard,2025-02-02,2,79,158
456,Keyboard,2025-01-24,14,56,784
457,Mouse,2025-01-21,3,194,582
458,Tablet,2025-02-08,10,100,1000
459,Laptop,2025-01-30,5,186,930
460,Keyboard,2025-02-01,20,126,2520
461,Tablet,2025-02-16,5,149,745
462,Tablet,2025-02-16,14,124,1736
463,Mouse,2025-02-15,15,160,2400
464,Laptop,2025-01-19,3,181,543
465,Keyboard,2025-02-13,14,90,1260
466,Mouse,2025-01-23,9,173,1557
467,Printer,2025-02-03,2,164,328
468,Printer,2025-02-06,19,69,1311
469,Keyboard,2025-01-31,17,108,1836
470,Tablet,2025-02-01,18,75,1350
471,Mouse,2025-02-03,2,94,188
472,Mouse,2025-02-15,18,129,2322
473,Mouse,2025-02-14,4,197,788
474,Keyboard,2025-01-19,20,97,1940
475,Tablet,2025-02-17,15,67,1005
476,Tablet,2025-02-11,13,94,1222
477,Keyboard,2025-02-06,5,99,495
478,Mouse,2025-01-19,19,191,3629
479,Tablet,2025-02-18,17,140,2380
480,Printer,2025-02-18,7,186,1302
481,Mouse,2025-01-28,12,144,1728
482,Printer,2025-02-16,9,54,486
483,Tablet,2025-02-14,9,162,1458
484,Tablet,2025-02-05,10,191,1910
485,Mouse,2025-02-01,20,94,1880
486,Keyboard,2025-01-25,2,74,148
487,Keyboard,2025-02-12,5,58,290
488,Keyboard,2025-02-16,19,51,969
489,Printer,2025-01-31,2,190,380
490,Laptop,2025-02-06,20,171,3420
491,Mouse,2025-02-10,13,71,923
492,Keyboard,2025-02-03,10,185,1850
493,Printer,2025-02-05,12,75,900
494,Printer,2025-01-20,4,136,544
495,Printer,2025-02-15,11,187,2057
496,Laptop,2025-01-27,7,166,1162
497,Tablet,2025-01-20,17,186,3162
498,Printer,2025-01-26,15,91,1365
499,Keyboard,2025-01-30,11,57,627
500,Laptop,2025-02-11,11,175,1925
501,Printer,2025-02-01,11,129,1419
502,Tablet,2025-02-05,4,64,256
503,Laptop,2025-02-14,15,107,1605
504,Mouse,2025-01-27,2,75,150
505,Keyboard,2025-02-18,9,154,1386
506,Laptop,2025-01-23,3,152,456
507,Printer,2025-01-20,14,53,742
508,Laptop,2025-02-09,2,84,168
509,Tablet,2025-01-24,15,105,1575
510,Mouse,2025-01-28,1,149,149
511,Printer,2025-02-02,15,89,1335
512,Tablet,2025-01-23,9,186,1674
513,Printer,2025-02-18,20,164,3280
514,Printer,2025-02-15,18,117,2106
515,Laptop,2025-01-29,19,181,3439
516,Laptop,2025-02-14,20,53,1060
517,Tablet,2025-02-14,6,67,402
518,Tablet,2025-01-19,20,127,2540
519,Laptop,2025-02-11,16,90,1440
520,Keyboard,2025-02-18,20,125,2500
521,Mouse,2025-02-14,15,60,900
522,Tablet,2025-02-13,10,177,1770
523,Keyboard,2025-01-26,16,95,1520
524,Mouse,2025-02-02,18,131,2358
525,Mouse,2025-01-26,12,88,1056
526,Laptop,2025-01-21,4,79,316
527,Tablet,2025-02-02,6,147,882
528,Laptop,2025-02-10,2,96,192
529,Tablet,2025-02-16,14,101,1414
530,Printer,2025-01-29,7,83,581
531,Laptop,2025-01-19,7,134,938
532,Laptop,2025-01-30,19,59,1121
533,Mouse,2025-02-03,13,125,1625
534,Laptop,2025-02-06,20,113,2260
535,Printer,2025-02-04,19,56,1064
536,Tablet,2025-01-28,5,111,555
537,Laptop,2025-01-26,16,191,3056
538,Mouse,2025-01-28,17,150,2550
539,Mouse,2025-01-31,16,75,1200
540,Keyboard,2025-02-03,14,136,1904
541,Laptop,2025-02-11,12,176,2112
542,Printer,2025-02-15,16,65,1040
543,Keyboard,2025-02-17,4,200,800
544,Keyboard,2025-02-17,18,120,2160
545,Laptop,2025-02-09,14,60,840
546,Laptop,2025-01-22,15,131,1965
547,Mouse,2025-01-25,11,165,1815
548,Tablet,2025-02-18,14,90,1260
549,Mouse,2025-01-20,10,103,1030
550,Laptop,2025-02-15,2,149,298
551,Laptop,2025-01-19,4,159,636
552,Laptop,2025-02-09,2,139,278
553,Mouse,2025-02-16,17,183,3111
554,Printer,2025-01-23,2,76,152
555,Mouse,2025-01-26,6,59,354
556,Mouse,2025-01-21,12,64,768
557,Printer,2025-02-11,5,75,375
558,Printer,2025-01-19,1,62,62
559,Tablet,2025-02-09,10,72,720
560,Mouse,2025-02-13,12,138,1656
561,Tablet,2025-01-29,20,169,3380
562,Mouse,2025-01-22,9,57,513
563,Laptop,2025-01-26,19,54,1026
564,Mouse,2025-01-29,18,138,2484
565,Printer,2025-01-25,7,115,805
566,Laptop,2025-01-23,19,151,2869
567,Keyboard,2025-02-02,12,78,936
568,Laptop,2025-01-26,16,83,1328
569,Laptop,2025-02-13,12,200,2400
570,Mouse,2025-02-11,2,57,114
571,Keyboard,2025-01-24,18,176,3168
572,Laptop,2025-02-13,11,68,748
573,Mouse,2025-02-14,17,132,2244
574,Printer,2025-02-13,20,77,1540
575,Laptop,2025-01-22,18,121,2178
576,Tablet,2025-02-05,8,108,864
577,Mouse,2025-01-25,13,91,1183
578,Keyboard,2025-01-24,14,117,1638
579,Tablet,2025-01-31,16,149,2384
580,Keyboard,2025-01-23,5,132,660
581,Laptop,2025-01-27,1,74,74
582,Mouse,2025-02-01,13,111,1443
583,Keyboard,2025-02-13,10,67,670
584,Tablet,2025-02-13,18,121,2178
585,Laptop,2025-02-16,20,191,3820
586,Printer,2025-01-22,8,147,1176
587,Laptop,2025-02-13,17,148,2516
588,Mouse,2025-01-25,18,146,2628
589,Printer,2025-02-08,2,200,400
590,Laptop,2025-01-23,8,81,648
591,Mouse,2025-02-04,7,92,644
592,Laptop,2025-01-19,5,58,290
593,Tablet,2025-02-11,4,165,660
594,Keyboard,2025-02-06,2,124,248
595,Printer,2025-02-02,11,186,2046
596,Laptop,2025-02-01,9,187,1683
597,Mouse,2025-02-05,9,89,801
598,Printer,2025-02-03,8,103,824
599,Tablet,2025-02-07,5,103,515
600,Mouse,2025-01-20,6,136,816
601,Keyboard,2025-01-25,9,188,1692
602,Laptop,2025-02-08,1,82,82
603,Printer,2025-02-07,6,116,696
604,Tablet,2025-02-01,2,57,114
605,Printer,2025-01-19,15,177,2655
606,Mouse,2025-02-10,3,90,270
607,Laptop,2025-02-04,8,105,840
